"Label","Qualified API Name","Developer Name","Data Type","Description","Label"
"Last Viewed Date","LastViewedDate","TTS_Applicant","Date/Time","","Applicant"
"Last Referenced Date","LastReferencedDate","TTS_Applicant","Date/Time","","Applicant"
"Object Access Level","UserRecordAccessId","TTS_Applicant","Lookup(User Record Access)","","Applicant"
"Protection","Protection__c","TTS_Applicant","Master-Detail(Protection)","","Applicant"
"Account","Account__c","TTS_Applicant","Lookup(Account)","","Applicant"
"External Reference","IP_External_Reference__c","TTS_Applicant","Text(50)  (External ID)","","Applicant"
"Individual Contact","Individual_Contact__c","TTS_Applicant","Lookup(Contact)","","Applicant"
"Lead Applicant","Lead_Applicant__c","TTS_Applicant","Checkbox","","Applicant"
"Type","Type__c","TTS_Applicant","Picklist","","Applicant"
"Protection Title","Protection_Title__c","TTS_Applicant","Formula (Text)","","Applicant"
"Change Event ID","Id","TTS_Agreement__ChangeEvent","Lookup()","","Change Event: Agreement"
"Replay ID","ReplayId","TTS_Agreement__ChangeEvent","External Lookup","","Change Event: Agreement"
"Change Event Header","ChangeEventHeader","TTS_Agreement__ChangeEvent","Complex Value","","Change Event: Agreement"
"Owner","OwnerId","TTS_Agreement__ChangeEvent","Lookup(User,Group)","","Change Event: Agreement"
"<Entity>","Name","TTS_Agreement__ChangeEvent","Text(80)","","Change Event: Agreement"
"Record Type","RecordTypeId","TTS_Agreement__ChangeEvent","Lookup(Record Type)","","Change Event: Agreement"
"Created Date","CreatedDate","TTS_Agreement__ChangeEvent","Date/Time","","Change Event: Agreement"
"Created By","CreatedById","TTS_Agreement__ChangeEvent","Lookup(User)","","Change Event: Agreement"
"Last Modified Date","LastModifiedDate","TTS_Agreement__ChangeEvent","Date/Time","","Change Event: Agreement"
"Last Modified By","LastModifiedById","TTS_Agreement__ChangeEvent","Lookup(User)","","Change Event: Agreement"
"Agreement Type","Agreement_Type__c","TTS_Agreement__ChangeEvent","Picklist","","Change Event: Agreement"
"Budget","Budget__c","TTS_Agreement__ChangeEvent","Currency(16, 2)","","Change Event: Agreement"
"Description","Description__c","TTS_Agreement__ChangeEvent","Long Text Area(130000)","","Change Event: Agreement"
"Effective/Start Date","Effective_Date__c","TTS_Agreement__ChangeEvent","Date/Time","","Change Event: Agreement"
"Expiration Date","Expiration_Date__c","TTS_Agreement__ChangeEvent","Date/Time","","Change Event: Agreement"
"Governing Law","Governing_Law__c","TTS_Agreement__ChangeEvent","Text(100)","","Change Event: Agreement"
"Licensee (Account)","Licensee_Account__c","TTS_Agreement__ChangeEvent","Lookup(Account)","","Change Event: Agreement"
"Licensee (Contact)","Licensee__c","TTS_Agreement__ChangeEvent","Lookup(Contact)","","Change Event: Agreement"
"Opportunity","Opportunity__c","TTS_Agreement__ChangeEvent","Lookup(Opportunity)","","Change Event: Agreement"
"Payment Terms","Payment_terms__c","TTS_Agreement__ChangeEvent","Long Text Area(130000)","","Change Event: Agreement"
"Renewal Date","Renewal_Date__c","TTS_Agreement__ChangeEvent","Date/Time","","Change Event: Agreement"
"Status","Status__c","TTS_Agreement__ChangeEvent","Picklist","","Change Event: Agreement"
"Technology","Technology__c","TTS_Agreement__ChangeEvent","Lookup(Technology)","","Change Event: Agreement"
"Termination Date","Termination_Date__c","TTS_Agreement__ChangeEvent","Date/Time","","Change Event: Agreement"
"Termination Details","Termination__c","TTS_Agreement__ChangeEvent","Long Text Area(130000)","","Change Event: Agreement"
"Title","Title__c","TTS_Agreement__ChangeEvent","Text(200)","","Change Event: Agreement"
"Usage Restrictions","Usage_Restrictions__c","TTS_Agreement__ChangeEvent","Long Text Area(130000)","","Change Event: Agreement"
"Change Event ID","Id","TTS_Agreement_Party__ChangeEvent","Lookup()","","Change Event: Agreement Party"
"Replay ID","ReplayId","TTS_Agreement_Party__ChangeEvent","External Lookup","","Change Event: Agreement Party"
"Change Event Header","ChangeEventHeader","TTS_Agreement_Party__ChangeEvent","Complex Value","","Change Event: Agreement Party"
"<Entity>","Name","TTS_Agreement_Party__ChangeEvent","Text(80)","","Change Event: Agreement Party"
"Created Date","CreatedDate","TTS_Agreement_Party__ChangeEvent","Date/Time","","Change Event: Agreement Party"
"Created By","CreatedById","TTS_Agreement_Party__ChangeEvent","Lookup(User)","","Change Event: Agreement Party"
"Last Modified Date","LastModifiedDate","TTS_Agreement_Party__ChangeEvent","Date/Time","","Change Event: Agreement Party"
"Last Modified By","LastModifiedById","TTS_Agreement_Party__ChangeEvent","Lookup(User)","","Change Event: Agreement Party"
"Agreement","Agreement__c","TTS_Agreement_Party__ChangeEvent","Master-Detail(Agreement)","","Change Event: Agreement Party"
"Account","Account__c","TTS_Agreement_Party__ChangeEvent","Lookup(Account)","","Change Event: Agreement Party"
"Contact","Contact__c","TTS_Agreement_Party__ChangeEvent","Lookup(Contact)","","Change Event: Agreement Party"
"Type","Type__c","TTS_Agreement_Party__ChangeEvent","Picklist","","Change Event: Agreement Party"
"Change Event ID","Id","TTS_Applicant__ChangeEvent","Lookup()","","Change Event: Applicant"
"Replay ID","ReplayId","TTS_Applicant__ChangeEvent","External Lookup","","Change Event: Applicant"
"Change Event Header","ChangeEventHeader","TTS_Applicant__ChangeEvent","Complex Value","","Change Event: Applicant"
"<Entity>","Name","TTS_Applicant__ChangeEvent","Text(80)","","Change Event: Applicant"
"Created Date","CreatedDate","TTS_Applicant__ChangeEvent","Date/Time","","Change Event: Applicant"
"Created By","CreatedById","TTS_Applicant__ChangeEvent","Lookup(User)","","Change Event: Applicant"
