"Label","Qualified API Name","Developer Name","Data Type","Description","Label"
"Name/Reference","Name_Reference__c","TTS_Protection_Family__ChangeEvent","Text(200)","","Change Event: Protection Family"
"Technology","Technology__c","TTS_Protection_Family__ChangeEvent","Lookup(Technology)","","Change Event: Protection Family"
"Change Event ID","Id","TTS_Protection_Litigation__ChangeEvent","Lookup()","","Change Event: Protection Litigation"
"Replay ID","ReplayId","TTS_Protection_Litigation__ChangeEvent","External Lookup","","Change Event: Protection Litigation"
"Change Event Header","ChangeEventHeader","TTS_Protection_Litigation__ChangeEvent","Complex Value","","Change Event: Protection Litigation"
"<Entity>","Name","TTS_Protection_Litigation__ChangeEvent","Text(80)","","Change Event: Protection Litigation"
"Created Date","CreatedDate","TTS_Protection_Litigation__ChangeEvent","Date/Time","","Change Event: Protection Litigation"
"Created By","CreatedById","TTS_Protection_Litigation__ChangeEvent","Lookup(User)","","Change Event: Protection Litigation"
"Last Modified Date","LastModifiedDate","TTS_Protection_Litigation__ChangeEvent","Date/Time","","Change Event: Protection Litigation"
"Last Modified By","LastModifiedById","TTS_Protection_Litigation__ChangeEvent","Lookup(User)","","Change Event: Protection Litigation"
"Protection","Protection__c","TTS_Protection_Litigation__ChangeEvent","Master-Detail(Protection)","","Change Event: Protection Litigation"
"Appeal Status","Appeal_Status__c","TTS_Protection_Litigation__ChangeEvent","Picklist","","Change Event: Protection Litigation"
"Plaintiff","Applicant__c","TTS_Protection_Litigation__ChangeEvent","Lookup(Applicant)","","Change Event: Protection Litigation"
"Case Number/Reference","Case_Number_Reference__c","TTS_Protection_Litigation__ChangeEvent","Text(100)","","Change Event: Protection Litigation"
"Case Outcome","Case_Outcome__c","TTS_Protection_Litigation__ChangeEvent","Picklist","","Change Event: Protection Litigation"
"Court","Court__c","TTS_Protection_Litigation__ChangeEvent","Text(244)","","Change Event: Protection Litigation"
"Damages Awarded","Damages_Awarded__c","TTS_Protection_Litigation__ChangeEvent","Currency(16, 2)","","Change Event: Protection Litigation"
"Damages Sought","Damages_Sought__c","TTS_Protection_Litigation__ChangeEvent","Currency(16, 2)","","Change Event: Protection Litigation"
"Defendant","Defendant__c","TTS_Protection_Litigation__ChangeEvent","Text(244)","","Change Event: Protection Litigation"
"Filing Date","Filing_Date__c","TTS_Protection_Litigation__ChangeEvent","Date","","Change Event: Protection Litigation"
"Plaintiff","Plaintiff__c","TTS_Protection_Litigation__ChangeEvent","Text(244)","","Change Event: Protection Litigation"
"Settlement Amount","Settlement_Amount__c","TTS_Protection_Litigation__ChangeEvent","Currency(16, 2)","","Change Event: Protection Litigation"
"Settlement Date","Settlement_Date__c","TTS_Protection_Litigation__ChangeEvent","Date","","Change Event: Protection Litigation"
"Status","Status__c","TTS_Protection_Litigation__ChangeEvent","Picklist","","Change Event: Protection Litigation"
"Type","Type__c","TTS_Protection_Litigation__ChangeEvent","Picklist","","Change Event: Protection Litigation"
"Change Event ID","Id","TTS_Recipient__ChangeEvent","Lookup()","","Change Event: Recipient"
"Replay ID","ReplayId","TTS_Recipient__ChangeEvent","External Lookup","","Change Event: Recipient"
"Change Event Header","ChangeEventHeader","TTS_Recipient__ChangeEvent","Complex Value","","Change Event: Recipient"
"<Entity>","Name","TTS_Recipient__ChangeEvent","Text(80)","","Change Event: Recipient"
"Created Date","CreatedDate","TTS_Recipient__ChangeEvent","Date/Time","","Change Event: Recipient"
"Created By","CreatedById","TTS_Recipient__ChangeEvent","Lookup(User)","","Change Event: Recipient"
"Last Modified Date","LastModifiedDate","TTS_Recipient__ChangeEvent","Date/Time","","Change Event: Recipient"
"Last Modified By","LastModifiedById","TTS_Recipient__ChangeEvent","Lookup(User)","","Change Event: Recipient"
"Transaction","IP_Transaction__c","TTS_Recipient__ChangeEvent","Master-Detail(Transaction)","","Change Event: Recipient"
"Amount","Amount__c","TTS_Recipient__ChangeEvent","Currency(16, 2)","","Change Event: Recipient"
"Account","IP_Recipient_Account__c","TTS_Recipient__ChangeEvent","Lookup(Account)","","Change Event: Recipient"
"Comments","IP_Recipient_Comments__c","TTS_Recipient__ChangeEvent","Long Text Area(32768)","","Change Event: Recipient"
"Contact","IP_Recipient_Contact__c","TTS_Recipient__ChangeEvent","Lookup(Contact)","","Change Event: Recipient"
"Payment Date/Time","IP_Recipient_Payment_Date_Time__c","TTS_Recipient__ChangeEvent","Date/Time","","Change Event: Recipient"
"Payment Reference","IP_Recipient_Payment_Reference__c","TTS_Recipient__ChangeEvent","Text(50)  (External ID)","","Change Event: Recipient"
"Change Event ID","Id","TTS_Space__ChangeEvent","Lookup()","","Change Event: Space"
"Replay ID","ReplayId","TTS_Space__ChangeEvent","External Lookup","","Change Event: Space"
"Change Event Header","ChangeEventHeader","TTS_Space__ChangeEvent","Complex Value","","Change Event: Space"
"Owner","OwnerId","TTS_Space__ChangeEvent","Lookup(User,Group)","","Change Event: Space"
"<Entity>","Name","TTS_Space__ChangeEvent","Text(80)","","Change Event: Space"
"Created Date","CreatedDate","TTS_Space__ChangeEvent","Date/Time","","Change Event: Space"
"Created By","CreatedById","TTS_Space__ChangeEvent","Lookup(User)","","Change Event: Space"
"Last Modified Date","LastModifiedDate","TTS_Space__ChangeEvent","Date/Time","","Change Event: Space"
"Last Modified By","LastModifiedById","TTS_Space__ChangeEvent","Lookup(User)","","Change Event: Space"
"Address","Address__c","TTS_Space__ChangeEvent","Long Text Area(32768)","","Change Event: Space"
"Next Available Date","Next_Available_Date__c","TTS_Space__ChangeEvent","Date","","Change Event: Space"
"Parent Space","Parent_Space__c","TTS_Space__ChangeEvent","Lookup(Space)","","Change Event: Space"
"Space Description","Space_Description__c","TTS_Space__ChangeEvent","Long Text Area(32768)","","Change Event: Space"
"Space Reference","Space_Reference__c","TTS_Space__ChangeEvent","Text(200)  (External ID)","","Change Event: Space"
"Status","Status__c","TTS_Space__ChangeEvent","Picklist","","Change Event: Space"
"Total Capacity","Total_Capacity__c","TTS_Space__ChangeEvent","Number(18, 0)","","Change Event: Space"
"Type","Type__c","TTS_Space__ChangeEvent","Picklist","","Change Event: Space"
"Total Occupants","Total_Occupants__c","TTS_Space__ChangeEvent","Roll-Up Summary (COUNT Space Tenant)","","Change Event: Space"
"Total Tenants","Total_Tenants__c","TTS_Space__ChangeEvent","Roll-Up Summary (SUM Space Tenant)","","Change Event: Space"
"Change Event ID","Id","TTS_Space_Asset__ChangeEvent","Lookup()","","Change Event: Space Asset"
"Replay ID","ReplayId","TTS_Space_Asset__ChangeEvent","External Lookup","","Change Event: Space Asset"
"Change Event Header","ChangeEventHeader","TTS_Space_Asset__ChangeEvent","Complex Value","","Change Event: Space Asset"
"<Entity>","Name","TTS_Space_Asset__ChangeEvent","Text(80)","","Change Event: Space Asset"
"Created Date","CreatedDate","TTS_Space_Asset__ChangeEvent","Date/Time","","Change Event: Space Asset"
"Created By","CreatedById","TTS_Space_Asset__ChangeEvent","Lookup(User)","","Change Event: Space Asset"
"Last Modified Date","LastModifiedDate","TTS_Space_Asset__ChangeEvent","Date/Time","","Change Event: Space Asset"
"Last Modified By","LastModifiedById","TTS_Space_Asset__ChangeEvent","Lookup(User)","","Change Event: Space Asset"
"Space","Space__c","TTS_Space_Asset__ChangeEvent","Master-Detail(Space)","","Change Event: Space Asset"
"Description","Description__c","TTS_Space_Asset__ChangeEvent","Long Text Area(32768)","","Change Event: Space Asset"
"Estimated Value","Estimated_Value__c","TTS_Space_Asset__ChangeEvent","Currency(16, 2)","","Change Event: Space Asset"
"Internal Asset Reference","Internal_Asset_Reference__c","TTS_Space_Asset__ChangeEvent","Text(200)  (External ID)","","Change Event: Space Asset"
"Name","Name__c","TTS_Space_Asset__ChangeEvent","Text(200)","","Change Event: Space Asset"
"Purchase Date","Purchase_Date__c","TTS_Space_Asset__ChangeEvent","Date","","Change Event: Space Asset"
"Status","Status__c","TTS_Space_Asset__ChangeEvent","Picklist","","Change Event: Space Asset"
"Change Event ID","Id","TTS_Space_Tenant__ChangeEvent","Lookup()","","Change Event: Space Tenant"
"Replay ID","ReplayId","TTS_Space_Tenant__ChangeEvent","External Lookup","","Change Event: Space Tenant"
"Change Event Header","ChangeEventHeader","TTS_Space_Tenant__ChangeEvent","Complex Value","","Change Event: Space Tenant"
"<Entity>","Name","TTS_Space_Tenant__ChangeEvent","Text(80)","","Change Event: Space Tenant"
"Created Date","CreatedDate","TTS_Space_Tenant__ChangeEvent","Date/Time","","Change Event: Space Tenant"
"Created By","CreatedById","TTS_Space_Tenant__ChangeEvent","Lookup(User)","","Change Event: Space Tenant"
"Last Modified Date","LastModifiedDate","TTS_Space_Tenant__ChangeEvent","Date/Time","","Change Event: Space Tenant"
"Last Modified By","LastModifiedById","TTS_Space_Tenant__ChangeEvent","Lookup(User)","","Change Event: Space Tenant"
"Space","Space__c","TTS_Space_Tenant__ChangeEvent","Master-Detail(Space)","","Change Event: Space Tenant"
"Account","Account__c","TTS_Space_Tenant__ChangeEvent","Lookup(Account)","","Change Event: Space Tenant"
"Contact","Contact__c","TTS_Space_Tenant__ChangeEvent","Lookup(Contact)","","Change Event: Space Tenant"
"End Date","End_Date__c","TTS_Space_Tenant__ChangeEvent","Date","","Change Event: Space Tenant"
"Start Date","Start_Date__c","TTS_Space_Tenant__ChangeEvent","Date","","Change Event: Space Tenant"
"Type","Type__c","TTS_Space_Tenant__ChangeEvent","Picklist","","Change Event: Space Tenant"
"Total Active Contacts","Total_Active_Contacts__c","TTS_Space_Tenant__ChangeEvent","Roll-Up Summary (COUNT Tenant Contact)","","Change Event: Space Tenant"
"Total Contacts","Total_Contacts__c","TTS_Space_Tenant__ChangeEvent","Roll-Up Summary (COUNT Tenant Contact)","","Change Event: Space Tenant"
"Current Tenant","Current_Tenant__c","TTS_Space_Tenant__ChangeEvent","Checkbox","","Change Event: Space Tenant"
"Tenant Name","Tenant_Name__c","TTS_Space_Tenant__ChangeEvent","Text(0)","Displays the name of the tenant using the type field of if the type field is not populated used the populated value, be that Account or Contact.","Change Event: Space Tenant"
"Change Event ID","Id","TTS_Success_Plans__ChangeEvent","Lookup()","","Change Event: Success Plan"
"Replay ID","ReplayId","TTS_Success_Plans__ChangeEvent","External Lookup","","Change Event: Success Plan"
"Change Event Header","ChangeEventHeader","TTS_Success_Plans__ChangeEvent","Complex Value","","Change Event: Success Plan"
"Owner","OwnerId","TTS_Success_Plans__ChangeEvent","Lookup(User,Group)","","Change Event: Success Plan"
"<Entity>","Name","TTS_Success_Plans__ChangeEvent","Text(80)","","Change Event: Success Plan"
"Created Date","CreatedDate","TTS_Success_Plans__ChangeEvent","Date/Time","","Change Event: Success Plan"
"Created By","CreatedById","TTS_Success_Plans__ChangeEvent","Lookup(User)","","Change Event: Success Plan"
"Last Modified Date","LastModifiedDate","TTS_Success_Plans__ChangeEvent","Date/Time","","Change Event: Success Plan"
"Last Modified By","LastModifiedById","TTS_Success_Plans__ChangeEvent","Lookup(User)","","Change Event: Success Plan"
"Object","Object__c","TTS_Success_Plans__ChangeEvent","Text(90)","","Change Event: Success Plan"
"Title","Title__c","TTS_Success_Plans__ChangeEvent","Text(255)","","Change Event: Success Plan"
"Change Event ID","Id","TTS_Technology__ChangeEvent","Lookup()","","Change Event: Technology"
"Replay ID","ReplayId","TTS_Technology__ChangeEvent","External Lookup","","Change Event: Technology"
"Change Event Header","ChangeEventHeader","TTS_Technology__ChangeEvent","Complex Value","","Change Event: Technology"
"Owner","OwnerId","TTS_Technology__ChangeEvent","Lookup(User,Group)","","Change Event: Technology"
"<Entity>","Name","TTS_Technology__ChangeEvent","Text(80)","","Change Event: Technology"
"Created Date","CreatedDate","TTS_Technology__ChangeEvent","Date/Time","","Change Event: Technology"
"Created By","CreatedById","TTS_Technology__ChangeEvent","Lookup(User)","","Change Event: Technology"
"Last Modified Date","LastModifiedDate","TTS_Technology__ChangeEvent","Date/Time","","Change Event: Technology"
"Last Modified By","LastModifiedById","TTS_Technology__ChangeEvent","Lookup(User)","","Change Event: Technology"
"Category","IP_Category__c","TTS_Technology__ChangeEvent","Picklist","","Change Event: Technology"
"Market Potential","IP_Commercial_Market__c","TTS_Technology__ChangeEvent","Long Text Area(32768)","","Change Event: Technology"
"Disclosure Date","IP_Disclosure_Date__c","TTS_Technology__ChangeEvent","Date","Date which the initial disclosure of IP was disclosed/created.","Change Event: Technology"
"Experimental Verification Detail","IP_Experimental_Verification_Detail__c","TTS_Technology__ChangeEvent","Long Text Area(130000)","","Change Event: Technology"
"Experimental Verification Complete","IP_Experimental_Verification__c","TTS_Technology__ChangeEvent","Checkbox","Confirms that experimental verification has taken place to verify the IP","Change Event: Technology"
"External Reference","IP_External_Reference__c","TTS_Technology__ChangeEvent","Text(255)  (External ID)","","Change Event: Technology"
"Future Publications","IP_Future_Publications__c","TTS_Technology__ChangeEvent","Long Text Area(32768)","","Change Event: Technology"
"Known Limitations","IP_Known_Limitations__c","TTS_Technology__ChangeEvent","Long Text Area(32768)","","Change Event: Technology"
"Known Risks","IP_Known_Risks__c","TTS_Technology__ChangeEvent","Long Text Area(32768)","","Change Event: Technology"
"Known Variations","IP_Known_Variations__c","TTS_Technology__ChangeEvent","Long Text Area(32768)","","Change Event: Technology"
"Materials Detail","IP_Materials__c","TTS_Technology__ChangeEvent","Long Text Area(32768)","","Change Event: Technology"
"Novelty/Newness","IP_Novelty__c","TTS_Technology__ChangeEvent","Long Text Area(32768)","","Change Event: Technology"
"Parent Technology","IP_ParentIP__c","TTS_Technology__ChangeEvent","Lookup(Technology)","","Change Event: Technology"
"Principal Inventor (PI)","IP_Principal_Inventor_PI__c","TTS_Technology__ChangeEvent","Lookup(Contact)","","Change Event: Technology"
"Prior Art","IP_Prior_Art__c","TTS_Technology__ChangeEvent","Checkbox","","Change Event: Technology"
"Prior Art Details","IP_Prior_Art_detail__c","TTS_Technology__ChangeEvent","Long Text Area(130000)","","Change Event: Technology"
"Public Disclosure Details","IP_Public_Disclosure_Details__c","TTS_Technology__ChangeEvent","Long Text Area(32768)","","Change Event: Technology"
"Public Disclosure Date","IP_Public_Disclosure__c","TTS_Technology__ChangeEvent","Date","","Change Event: Technology"
"Sponsored Program Detail","IP_Sponsored_Program_Detail__c","TTS_Technology__ChangeEvent","Long Text Area(32768)","","Change Event: Technology"
"Sponsored Program","IP_Sponsored_Program__c","TTS_Technology__ChangeEvent","Checkbox","","Change Event: Technology"
"Status","IP_Status__c","TTS_Technology__ChangeEvent","Picklist","","Change Event: Technology"
"Technical Description","IP_Technical_Description__c","TTS_Technology__ChangeEvent","Long Text Area(130000)","","Change Event: Technology"
"Technology Title","IP_Title__c","TTS_Technology__ChangeEvent","Text Area(255)","","Change Event: Technology"
"Utility Details","IP_Utility__c","TTS_Technology__ChangeEvent","Long Text Area(130000)","","Change Event: Technology"
"Non-Confidential Description","Non_Confidential_Description__c","TTS_Technology__ChangeEvent","Long Text Area(32768)","","Change Event: Technology"
"Technology Readiness Level (TRL)","TRL__c","TTS_Technology__ChangeEvent","Picklist","","Change Event: Technology"
"Trademark Classes","Trademark_Classes__c","TTS_Technology__ChangeEvent","Picklist (Multi-Select)","The Nice Classification (NCL), established by the Nice Agreement (1957), is an international classification of goods and services applied for the registration of marks.","Change Event: Technology"
"Total Percentage Share","IP_Total_Percentage_Share__c","TTS_Technology__ChangeEvent","Roll-Up Summary (SUM Inventor)","This is used primarily for validation of the child contribution records to ensure that the overall share is not more than 100%","Change Event: Technology"
"Total Primary Contributions","IP_Total_Primary_Contributions__c","TTS_Technology__ChangeEvent","Roll-Up Summary (COUNT Inventor)","This checks the number of child contributions records, marked as primary, is always 1 or 0. If this is greater than one a validation rule throws an error message.","Change Event: Technology"
"Compact Title","IP_Compact_Title__c","TTS_Technology__ChangeEvent","Text(0)","","Change Event: Technology"
"Change Event ID","Id","TTS_Space_Tenant_Contact__ChangeEvent","Lookup()","","Change Event: Tenant Contact"
"Replay ID","ReplayId","TTS_Space_Tenant_Contact__ChangeEvent","External Lookup","","Change Event: Tenant Contact"
"Change Event Header","ChangeEventHeader","TTS_Space_Tenant_Contact__ChangeEvent","Complex Value","","Change Event: Tenant Contact"
"<Entity>","Name","TTS_Space_Tenant_Contact__ChangeEvent","Text(80)","","Change Event: Tenant Contact"
"Created Date","CreatedDate","TTS_Space_Tenant_Contact__ChangeEvent","Date/Time","","Change Event: Tenant Contact"
"Created By","CreatedById","TTS_Space_Tenant_Contact__ChangeEvent","Lookup(User)","","Change Event: Tenant Contact"
"Last Modified Date","LastModifiedDate","TTS_Space_Tenant_Contact__ChangeEvent","Date/Time","","Change Event: Tenant Contact"
"Last Modified By","LastModifiedById","TTS_Space_Tenant_Contact__ChangeEvent","Lookup(User)","","Change Event: Tenant Contact"
"Space Tenant","Space_Tenant__c","TTS_Space_Tenant_Contact__ChangeEvent","Master-Detail(Space Tenant)","","Change Event: Tenant Contact"
"Contact","Contact__c","TTS_Space_Tenant_Contact__ChangeEvent","Lookup(Contact)","","Change Event: Tenant Contact"
"End Date","End_Date__c","TTS_Space_Tenant_Contact__ChangeEvent","Date","","Change Event: Tenant Contact"
"Is Current Contact","Is_Current_Contact__c","TTS_Space_Tenant_Contact__ChangeEvent","Checkbox","","Change Event: Tenant Contact"
"Is Primary Contact","Is_Primary_Contact__c","TTS_Space_Tenant_Contact__ChangeEvent","Checkbox","","Change Event: Tenant Contact"
"Start Date","Start_Date__c","TTS_Space_Tenant_Contact__ChangeEvent","Date","","Change Event: Tenant Contact"
"Change Event ID","Id","TTS_Trademark_Classes__ChangeEvent","Lookup()","","Change Event: Trademark Class"
"Replay ID","ReplayId","TTS_Trademark_Classes__ChangeEvent","External Lookup","","Change Event: Trademark Class"
"Change Event Header","ChangeEventHeader","TTS_Trademark_Classes__ChangeEvent","Complex Value","","Change Event: Trademark Class"
"Owner","OwnerId","TTS_Trademark_Classes__ChangeEvent","Lookup(User,Group)","","Change Event: Trademark Class"
"<Entity>","Name","TTS_Trademark_Classes__ChangeEvent","Text(80)","","Change Event: Trademark Class"
"Created Date","CreatedDate","TTS_Trademark_Classes__ChangeEvent","Date/Time","","Change Event: Trademark Class"
"Created By","CreatedById","TTS_Trademark_Classes__ChangeEvent","Lookup(User)","","Change Event: Trademark Class"
"Last Modified Date","LastModifiedDate","TTS_Trademark_Classes__ChangeEvent","Date/Time","","Change Event: Trademark Class"
"Last Modified By","LastModifiedById","TTS_Trademark_Classes__ChangeEvent","Lookup(User)","","Change Event: Trademark Class"
"Class Heading","Class_Heading__c","TTS_Trademark_Classes__ChangeEvent","Long Text Area(131072)","","Change Event: Trademark Class"
"Class Number","Class_Number__c","TTS_Trademark_Classes__ChangeEvent","Text(255)","","Change Event: Trademark Class"
"Change Event ID","Id","TTS_TrademarkIPAssociation__ChangeEvent","Lookup()","","Change Event: Trademark Class Association"
"Replay ID","ReplayId","TTS_TrademarkIPAssociation__ChangeEvent","External Lookup","","Change Event: Trademark Class Association"
"Change Event Header","ChangeEventHeader","TTS_TrademarkIPAssociation__ChangeEvent","Complex Value","","Change Event: Trademark Class Association"
"<Entity>","Name","TTS_TrademarkIPAssociation__ChangeEvent","Text(80)","","Change Event: Trademark Class Association"
"Created Date","CreatedDate","TTS_TrademarkIPAssociation__ChangeEvent","Date/Time","","Change Event: Trademark Class Association"
"Created By","CreatedById","TTS_TrademarkIPAssociation__ChangeEvent","Lookup(User)","","Change Event: Trademark Class Association"
"Last Modified Date","LastModifiedDate","TTS_TrademarkIPAssociation__ChangeEvent","Date/Time","","Change Event: Trademark Class Association"
"Last Modified By","LastModifiedById","TTS_TrademarkIPAssociation__ChangeEvent","Lookup(User)","","Change Event: Trademark Class Association"
"Trademark Classes","Trademark_Classes__c","TTS_TrademarkIPAssociation__ChangeEvent","Master-Detail(Trademark Class)","","Change Event: Trademark Class Association"
"Protection","Protection__c","TTS_TrademarkIPAssociation__ChangeEvent","Lookup(Protection)","","Change Event: Trademark Class Association"
"Change Event ID","Id","TTS_Transaction__ChangeEvent","Lookup()","","Change Event: Transaction"
"Replay ID","ReplayId","TTS_Transaction__ChangeEvent","External Lookup","","Change Event: Transaction"
"Change Event Header","ChangeEventHeader","TTS_Transaction__ChangeEvent","Complex Value","","Change Event: Transaction"
"Owner","OwnerId","TTS_Transaction__ChangeEvent","Lookup(User,Group)","","Change Event: Transaction"
"<Entity>","Name","TTS_Transaction__ChangeEvent","Text(80)","","Change Event: Transaction"
"Record Type","RecordTypeId","TTS_Transaction__ChangeEvent","Lookup(Record Type)","","Change Event: Transaction"
"Created Date","CreatedDate","TTS_Transaction__ChangeEvent","Date/Time","","Change Event: Transaction"
"Created By","CreatedById","TTS_Transaction__ChangeEvent","Lookup(User)","","Change Event: Transaction"
"Last Modified Date","LastModifiedDate","TTS_Transaction__ChangeEvent","Date/Time","","Change Event: Transaction"
"Last Modified By","LastModifiedById","TTS_Transaction__ChangeEvent","Lookup(User)","","Change Event: Transaction"
"Proposed Amount","Agreed_Amount__c","TTS_Transaction__ChangeEvent","Currency(16, 2)","","Change Event: Transaction"
"Agreement Deliverable","Agreement_Deliverable__c","TTS_Transaction__ChangeEvent","Lookup(Agreement Deliverable)","","Change Event: Transaction"
"Agreement Party","Agreement_Party__c","TTS_Transaction__ChangeEvent","Lookup(Agreement Party)","","Change Event: Transaction"
"Agreement","Agreement__c","TTS_Transaction__ChangeEvent","Lookup(Agreement)","","Change Event: Transaction"
"Campaign","Campaign__c","TTS_Transaction__ChangeEvent","Lookup(Campaign)","","Change Event: Transaction"
"Direction","Direction__c","TTS_Transaction__ChangeEvent","Picklist","","Change Event: Transaction"
"End Date/Time","End_Date_Time__c","TTS_Transaction__ChangeEvent","Date/Time","","Change Event: Transaction"
"Actual Amount","IP_Actual_Amount__c","TTS_Transaction__ChangeEvent","Currency(16, 2)","","Change Event: Transaction"
"Related Contract","IP_Contract__c","TTS_Transaction__ChangeEvent","Lookup(Contract)","","Change Event: Transaction"
"Expected Payment Date","IP_Expected_Payment_Date__c","TTS_Transaction__ChangeEvent","Date/Time","","Change Event: Transaction"
"External Payment Reference","IP_External_Payment_Reference__c","TTS_Transaction__ChangeEvent","Text(50)  (External ID)","","Change Event: Transaction"
"Internal Payment Reference","IP_Internal_Payment_Reference__c","TTS_Transaction__ChangeEvent","Text(50)  (External ID)","","Change Event: Transaction"
"Opportunity","IP_Opportunity__c","TTS_Transaction__ChangeEvent","Lookup(Opportunity)","","Change Event: Transaction"
"Purchase Order","IP_Purchase_Order__c","TTS_Transaction__ChangeEvent","Text(50)  (External ID)","","Change Event: Transaction"
"Technology","IP_Related_IP__c","TTS_Transaction__ChangeEvent","Lookup(Technology)","","Change Event: Transaction"
"Transaction Date/Time","IP_Transaction_Date_Time__c","TTS_Transaction__ChangeEvent","Date/Time","","Change Event: Transaction"
"Protection","Protection__c","TTS_Transaction__ChangeEvent","Lookup(Protection)","","Change Event: Transaction"
"Recurrence Frequency","Recurrence_Frequency__c","TTS_Transaction__ChangeEvent","Picklist","","Change Event: Transaction"
"Recurring","Recurring__c","TTS_Transaction__ChangeEvent","Checkbox","","Change Event: Transaction"
"Space","Space__c","TTS_Transaction__ChangeEvent","Lookup(Space)","","Change Event: Transaction"
"Start Date/Time","Start_Date_Time__c","TTS_Transaction__ChangeEvent","Date/Time","","Change Event: Transaction"
"Initial Transaction","Transaction__c","TTS_Transaction__ChangeEvent","Lookup(Transaction)","","Change Event: Transaction"
"Type","Type__c","TTS_Transaction__ChangeEvent","Picklist","","Change Event: Transaction"
"Record ID","Id","TTS_Contributor","Lookup()","","Contributor"
"Deleted","IsDeleted","TTS_Contributor","Checkbox","","Contributor"
"Contributor ID","Name","TTS_Contributor","Auto Number","","Contributor"
"Created Date","CreatedDate","TTS_Contributor","Date/Time","","Contributor"
"Created By","CreatedById","TTS_Contributor","Lookup(User)","","Contributor"
"Last Modified Date","LastModifiedDate","TTS_Contributor","Date/Time","","Contributor"
"Last Modified By","LastModifiedById","TTS_Contributor","Lookup(User)","","Contributor"
"System Modstamp","SystemModstamp","TTS_Contributor","Date/Time","","Contributor"
"Last Activity Date","LastActivityDate","TTS_Contributor","Date","","Contributor"
"Last Viewed Date","LastViewedDate","TTS_Contributor","Date/Time","","Contributor"
"Last Referenced Date","LastReferencedDate","TTS_Contributor","Date/Time","","Contributor"
"Object Access Level","UserRecordAccessId","TTS_Contributor","Lookup(User Record Access)","","Contributor"
"Transaction","IP_Related_Transaction__c","TTS_Contributor","Master-Detail(Transaction)","","Contributor"
"Account","Account__c","TTS_Contributor","Lookup(Account)","","Contributor"
"Amount","Amount__c","TTS_Contributor","Currency(16, 2)","","Contributor"
"Comments","Comments__c","TTS_Contributor","Long Text Area(32768)","","Contributor"
"Payment Reference","IP_Cont_Payment_Reference__c","TTS_Contributor","Text(50)  (External ID)","","Contributor"
"Contact","IP_Contact__c","TTS_Contributor","Lookup(Contact)","","Contributor"
"Date/Time","IP_Date_Time__c","TTS_Contributor","Date/Time","","Contributor"
"Record ID","Id","TTS_Disclosure","Lookup()","","Disclosure"
"Owner","OwnerId","TTS_Disclosure","Lookup(User,Group)","","Disclosure"
"Deleted","IsDeleted","TTS_Disclosure","Checkbox","","Disclosure"
"Disclosure ID","Name","TTS_Disclosure","Auto Number","","Disclosure"
"Created Date","CreatedDate","TTS_Disclosure","Date/Time","","Disclosure"
"Created By","CreatedById","TTS_Disclosure","Lookup(User)","","Disclosure"
"Last Modified Date","LastModifiedDate","TTS_Disclosure","Date/Time","","Disclosure"
"Last Modified By","LastModifiedById","TTS_Disclosure","Lookup(User)","","Disclosure"
"System Modstamp","SystemModstamp","TTS_Disclosure","Date/Time","","Disclosure"
"Last Activity Date","LastActivityDate","TTS_Disclosure","Date","","Disclosure"
"Last Viewed Date","LastViewedDate","TTS_Disclosure","Date/Time","","Disclosure"
"Last Referenced Date","LastReferencedDate","TTS_Disclosure","Date/Time","","Disclosure"
"Object Access Level","UserRecordAccessId","TTS_Disclosure","Lookup(User Record Access)","","Disclosure"
"Commercial Applications","Commercial_Applications__c","TTS_Disclosure","Long Text Area(130000)","","Disclosure"
"Contact","Contact__c","TTS_Disclosure","Lookup(Contact)","A relationship to the individual inventor or researcher disclosing of initial technology.","Disclosure"
"Current Protection Details","Current_Protection_Details__c","TTS_Disclosure","Long Text Area(130000)","","Disclosure"
"Current Protections","Current_Protections__c","TTS_Disclosure","Picklist (Multi-Select)","","Disclosure"
"Disclosure Description","Disclosure_Description__c","TTS_Disclosure","Rich Text Area(130000)","","Disclosure"
"Title","Disclosure_Title__c","TTS_Disclosure","Long Text Area(256)","","Disclosure"
"Disclosure date","Disclosure_date__c","TTS_Disclosure","Date","","Disclosure"
"External ID","External_ID__c","TTS_Disclosure","Text(200)  (External ID)","","Disclosure"
"Funding Details","Funding_Details__c","TTS_Disclosure","Long Text Area(32768)","","Disclosure"
"Funding Source","Funding_Source__c","TTS_Disclosure","Picklist","","Disclosure"
"Partnership/Collaboration Details","Partnership_Collaboration_Details__c","TTS_Disclosure","Long Text Area(32768)","","Disclosure"
"Status","Status__c","TTS_Disclosure","Picklist","","Disclosure"
"Technology","Technology__c","TTS_Disclosure","Lookup(Technology)","Related technologies that currently exist and are in the transfer process or have been proccesed.","Disclosure"
"Feed Item ID","Id","TTS_Technology__Feed","Lookup()","","Feed: Technology"
"Parent","ParentId","TTS_Technology__Feed","Lookup(Technology)","","Feed: Technology"
"Feed Item Type","Type","TTS_Technology__Feed","Picklist","","Feed: Technology"
"Created By","CreatedById","TTS_Technology__Feed","Lookup(User)","","Feed: Technology"
"Created Date","CreatedDate","TTS_Technology__Feed","Date/Time","","Feed: Technology"
"Deleted","IsDeleted","TTS_Technology__Feed","Checkbox","","Feed: Technology"
"Last Modified Date","LastModifiedDate","TTS_Technology__Feed","Date/Time","","Feed: Technology"
